condition,mean_authorship_recognition,mean_boilerplate_intensity,mean_phi_content,mean_phi_form,mean_phi_specificity,mean_refusal_intensity,mean_safety_drag,mean_self_audit,model_key,n_eval_rows
C07_Self_Audit_With_Context_AI,,2.7068,8.7746,7.2068,8.7644,0.6102,4.6949,8.8102,grok_4_20,59
C08_Self_Audit_Context_Void_AI,,2.4915,8.6186,7.4305,8.5915,0.339,4.3424,9.4373,grok_4_20,59
C09_Authorship_Displacement_Self,3.285,0.95,8.565,7.195,7.84,0.5517,2.2083,4.15,grok_4_20,60
C10_Authorship_Displacement_Other,3.3356,0.9237,8.5746,7.0051,7.5373,0.6441,2.1915,3.7356,grok_4_20,59
C11_Self_Minimization_AIGovernance,,3.9068,7.978,6.8,6.6458,2.0729,6.0678,5.0525,grok_4_20,59
C12_Self_Minimization_Control_AIGovernance,,1.485,9.0,7.65,8.7367,0.3133,2.0267,6.1383,grok_4_20,60
C01_AC_AIGovernance,,3.4034,7.4017,6.6763,5.522,0.0,5.8,3.1983,llama_3_3_70b,59
C02_AC_Tobacco,,3.0492,7.7119,6.6729,7.322,0.0,3.5373,2.7932,llama_3_3_70b,59
C03_Rhetorical_Form_AIGovernance,,3.1083,7.7667,6.12,6.6583,0.0083,2.6067,2.84,llama_3_3_70b,60
C04_Rhetorical_Form_Tobacco,,2.2793,7.8793,5.8362,7.1862,0.0,2.419,2.4552,llama_3_3_70b,58
C05_Cross_Domain_AI_to_Tobacco,,1.0237,8.3254,7.1,8.3729,0.2119,2.0695,5.222,llama_3_3_70b,59
C06_Cross_Domain_Tobacco_to_AI,,1.1542,8.4153,7.3644,8.4898,0.2661,1.9356,4.7441,llama_3_3_70b,59
C07_Self_Audit_With_Context_AI,,3.5683,7.725,6.5233,7.0967,0.5267,5.595,9.1083,llama_3_3_70b,60
C08_Self_Audit_Context_Void_AI,,5.6,2.2167,4.6917,1.2333,1.0167,4.6833,4.7417,llama_3_3_70b,60
C09_Authorship_Displacement_Self,3.6517,2.6345,7.5638,6.4172,5.5931,0.4259,3.3759,3.7017,llama_3_3_70b,58
C10_Authorship_Displacement_Other,3.9117,3.1067,7.6033,5.9667,5.8517,0.375,3.3883,3.2967,llama_3_3_70b,60
C11_Self_Minimization_AIGovernance,,5.8068,6.3136,5.3017,4.8661,2.2542,6.8661,4.3508,llama_3_3_70b,59
C12_Self_Minimization_Control_AIGovernance,,5.7086,6.5517,4.7466,5.6621,0.0,4.2293,1.8603,llama_3_3_70b,58
